SEC,STATE,GSR,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
137.5,2,550,77231,63098,21642,41973,18009,29479,1673,137794
138.0,2,546,318899,149672,15180,38041,31062,36394,8111,123810
138.5,2,546,318899,149672,15180,38041,31062,36394,8111,123810
139.0,2,549,25524,38587,8866,12590,8119,105142,3446,154712
139.5,2,543,25524,38587,8866,12590,8119,105142,3446,154712
140.0,2,542,217174,45045,30346,11536,14875,34106,4179,145174
140.5,2,543,217174,45045,30346,11536,14875,34106,4179,145174
141.0,2,545,189915,69332,13150,9498,24611,123946,2804,130789
141.5,2,542,189915,69332,13150,9498,24611,123946,2804,130789
142.0,2,550,1772012,189783,1330,37310,21298,32905,12965,152509
142.5,2,550,1772012,189783,1330,37310,21298,32905,12965,152509
143.0,2,548,56353,52145,19579,12796,44709,41309,5755,132074
143.5,2,548,56353,52145,19579,12796,44709,41309,5755,132074
144.0,2,551,180076,23134,4952,9531,20569,50014,3989,157275
144.5,2,549,180076,23134,4952,9531,20569,50014,3989,157275
145.0,2,539,13307,27268,42743,44359,12965,53194,3773,159797
145.5,2,544,13307,27268,42743,44359,12965,53194,3773,159797
146.0,2,545,488908,148931,7196,76896,6612,14373,6913,144485
146.5,2,542,488908,148931,7196,76896,6612,14373,6913,144485
147.0,2,549,23193,14995,9543,2224,11978,46718,6203,138792
147.5,2,553,23193,14995,9543,2224,11978,46718,6203,138792
148.0,2,549,370876,23580,8057,4306,14078,13136,2444,154973
148.5,2,548,370876,23580,8057,4306,14078,13136,2444,154973
149.0,2,550,52060,29329,14964,27402,20844,51013,2807,152154
149.5,2,545,52060,29329,14964,27402,20844,51013,2807,152154
150.0,2,538,617221,87606,40207,17941,7781,38958,6254,144371
150.5,2,544,49500,40405,5718,44559,8048,20486,2117,136979
151.0,2,548,49500,40405,5718,44559,8048,20486,2117,136979
151.5,2,546,49500,40405,5718,44559,8048,20486,2117,136979
152.0,2,553,1707056,197440,18457,5758,47340,18532,3872,133696
152.5,2,550,13421,44512,2058,10255,20796,37477,4600,165396
153.0,2,548,13421,44512,2058,10255,20796,37477,4600,165396
153.5,2,551,13421,44512,2058,10255,20796,37477,4600,165396
154.0,2,552,60836,23267,9610,14829,19333,57652,3187,170367
154.5,2,538,6060,36307,10176,7141,14783,75042,6031,156099
155.0,2,543,6060,36307,10176,7141,14783,75042,6031,156099
155.5,2,544,21452,12345,1662,4271,2602,65367,2229,137093
156.0,2,544,21452,12345,1662,4271,2602,65367,2229,137093
156.5,2,543,417337,10201,29247,13458,32282,97709,5367,153599
157.0,2,553,417337,10201,29247,13458,32282,97709,5367,153599
157.5,2,548,10646,11274,14944,5049,6701,26530,3194,147640
158.0,2,548,10646,11274,14944,5049,6701,26530,3194,147640
158.5,2,551,22603,15707,1526,13354,13759,96214,1838,151125
159.0,2,539,22603,15707,1526,13354,13759,96214,1838,151125
159.5,2,541,78532,131816,17866,9167,29286,44764,3633,159266
160.0,2,545,78532,131816,17866,9167,29286,44764,3633,159266
160.5,2,543,9516,9553,3839,8730,7463,95710,4503,163014
161.0,2,541,9516,9553,3839,8730,7463,95710,4503,163014
161.5,2,550,118006,56016,30130,34804,36441,30121,5608,155708
162.0,2,544,118006,56016,30130,34804,36441,30121,5608,155708
162.5,2,546,229944,5912,735,3246,8659,11021,562,43099
163.0,2,550,229944,5912,735,3246,8659,11021,562,43099
163.5,2,534,57082,49591,12354,20120,16476,88759,7313,144526
164.0,2,543,57082,49591,12354,20120,16476,88759,7313,144526
164.5,2,541,60066,21717,38463,13793,10192,39090,3351,160739
165.0,2,537,60066,21717,38463,13793,10192,39090,3351,160739
165.5,2,545,11605,53456,19922,17815,25777,25963,1686,175430
166.0,2,543,11605,53456,19922,17815,25777,25963,1686,175430
166.5,2,540,5258,39685,2252,8087,40046,61959,7781,155373
167.0,2,544,5258,39685,2252,8087,40046,61959,7781,155373
167.5,2,542,66641,13239,13295,19038,24376,52543,2497,170748
168.0,2,535,66641,13239,13295,19038,24376,52543,2497,170748
168.5,2,539,121271,22127,1170,1593,6490,19383,639,54403
169.0,2,539,121271,22127,1170,1593,6490,19383,639,54403
169.5,2,536,22175,17794,978,5948,9798,82176,5108,170515
170.0,2,547,22175,17794,978,5948,9798,82176,5108,170515
170.5,2,544,300968,42420,49514,1175,2670,64652,5177,175267
171.0,2,543,300968,42420,49514,1175,2670,64652,5177,175267
171.5,2,540,347950,34894,17069,9710,8820,72190,1343,169391
172.0,2,526,347950,34894,17069,9710,8820,72190,1343,169391
172.5,2,531,42562,17116,8066,4149,11094,27902,5992,188662
173.0,2,530,42562,17116,8066,4149,11094,27902,5992,188662
173.5,2,532,27816,61845,21518,13892,18867,27421,3914,142951
174.0,2,539,27816,61845,21518,13892,18867,27421,3914,142951
174.5,2,535,34068,8810,13297,19286,44803,15842,10604,182671
175.0,2,539,34068,8810,13297,19286,44803,15842,10604,182671
175.5,2,529,192280,9858,1149,24292,22369,44676,2707,202146
176.0,2,534,192280,9858,1149,24292,22369,44676,2707,202146
176.5,2,536,74948,35855,9737,10039,7941,7076,1323,42962
177.0,2,533,74948,35855,9737,10039,7941,7076,1323,42962
177.5,2,539,122915,16577,2328,2148,1386,7804,1140,46628
178.0,2,536,122915,16577,2328,2148,1386,7804,1140,46628
178.5,2,536,49321,42230,6406,5947,1653,30401,1056,46651
179.0,2,539,49321,42230,6406,5947,1653,30401,1056,46651
179.5,2,526,89449,9310,6984,17930,7476,56333,3658,260254
180.0,3,535,89449,9310,6984,17930,7476,56333,3658,260254
180.5,3,534,94207,24906,20252,29038,15143,87153,1558,215885
181.0,3,543,94207,24906,20252,29038,15143,87153,1558,215885
181.5,3,539,2624184,117634,99509,62790,21480,68500,5746,177845
182.0,3,536,2624184,117634,99509,62790,21480,68500,5746,177845
182.5,3,538,1841120,21622,7818,7855,8763,7440,1028,15711
183.0,3,519,1841120,21622,7818,7855,8763,7440,1028,15711
183.5,3,525,358459,31500,610,6363,7490,2187,1661,19414
184.0,3,524,358459,31500,610,6363,7490,2187,1661,19414
184.5,3,524,2862262,399494,61225,40950,47807,10744,42082,243530
185.0,3,526,2862262,399494,61225,40950,47807,10744,42082,243530
185.5,3,517,877778,222249,40771,10243,22327,7965,7292,48228
186.0,3,516,877778,222249,40771,10243,22327,7965,7292,48228
186.5,3,498,669923,170218,21406,43727,14055,27778,18224,301100
187.0,3,506,669923,170218,21406,43727,14055,27778,18224,301100
187.5,3,503,939848,161432,15935,56093,15633,13244,7904,31879
188.0,3,496,939848,161432,15935,56093,15633,13244,7904,31879
188.5,3,507,2808070,321322,157082,111056,57333,88796,48581,242548
189.0,3,502,2808070,321322,157082,111056,57333,88796,48581,242548
189.5,3,508,222525,210367,80469,17169,27614,40354,7606,281687
190.0,3,499,222525,210367,80469,17169,27614,40354,7606,281687
190.5,3,501,58976,15999,3926,17257,10831,21766,7410,278200
191.0,3,503,58976,15999,3926,17257,10831,21766,7410,278200
191.5,3,501,413266,17351,22659,8563,25500,14975,3070,282274
192.0,3,515,413266,17351,22659,8563,25500,14975,3070,282274
192.5,3,507,1138090,71291,28275,36058,4661,7543,769,60740
193.0,3,511,1138090,71291,28275,36058,4661,7543,769,60740
193.5,3,512,160817,138764,3628,26064,12376,50170,3639,256349
194.0,3,502,160817,138764,3628,26064,12376,50170,3639,256349
194.5,3,505,324859,75378,2930,21604,9917,53090,8743,287509
195.0,3,504,324859,75378,2930,21604,9917,53090,8743,287509
195.5,3,514,628459,426810,37418,17992,29699,34606,24996,261805
196.0,3,510,628459,426810,37418,17992,29699,34606,24996,261805
196.5,3,513,219634,32369,11918,21642,16913,79874,9519,258322
197.0,3,510,219634,32369,11918,21642,16913,79874,9519,258322
197.5,3,503,207138,140384,37973,29705,30605,10440,4791,276189
198.0,3,507,207138,140384,37973,29705,30605,10440,4791,276189
198.5,3,506,2246531,44415,55829,22248,16746,70350,3822,236927
199.0,3,515,2246531,44415,55829,22248,16746,70350,3822,236927
199.5,3,511,70957,24773,1216,7359,10717,56326,5362,238815
200.0,3,514,70957,24773,1216,7359,10717,56326,5362,238815
200.5,3,518,113492,29069,1608,14290,23996,61446,7377,257846
201.0,3,503,113492,29069,1608,14290,23996,61446,7377,257846
